epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42756,4.60062,9.27745,1.60842,0,0,0,0,4.99482,5.72343,1.73263,4e-05,4e-05,4e-05
2,12.5213,4.3612,7.12939,1.48624,0,0,0,0,4.99482,5.72343,1.73263,9.802e-05,9.802e-05,9.802e-05
3,18.8867,4.28082,7.05727,1.5114,0,0,0,0,4.55412,13.0708,1.43894,0.000153664,0.000153664,0.000153664
4,25.4682,3.803,10.2773,1.59781,0,0,0,0,4.55412,13.0708,1.43894,0.000206932,0.000206932,0.000206932
5,32.1124,3.26967,5.67697,1.24186,0,0,0,0,4.55412,13.0708,1.43894,0.000257824,0.000257824,0.000257824
6,38.5115,3.5625,7.38347,1.53488,0,0,0,0,4.55412,13.0708,1.43894,0.00030634,0.00030634,0.00030634
7,44.8995,3.38147,4.72857,1.09758,0,0,0,0,4.55412,13.0708,1.43894,0.00035248,0.00035248,0.00035248
8,51.138,2.51588,3.87438,1.00834,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000396244,0.000396244,0.000396244
9,57.3119,3.0417,4.1134,1.10054,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000437632,0.000437632,0.000437632
10,63.4093,2.72626,7.61872,1.16359,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000476644,0.000476644,0.000476644
11,69.7044,3.19175,3.82369,1.04002,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.00051328,0.00051328,0.00051328
12,75.8577,2.69849,2.88091,1.01202,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.00054754,0.00054754,0.00054754
13,82.2352,2.59548,2.80678,0.93807,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000579424,0.000579424,0.000579424
14,88.8621,2.57714,3.88976,0.9083,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000608932,0.000608932,0.000608932
15,95.0034,2.60456,7.71972,1.11738,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000636064,0.000636064,0.000636064
16,101.372,4.15892,6.43222,1.23471,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.00066082,0.00066082,0.00066082
17,107.476,3.01847,4.63065,1.16849,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.0006832,0.0006832,0.0006832
18,113.665,2.80137,3.886,1.1144,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000703204,0.000703204,0.000703204
19,119.937,3.06454,4.43802,0.98163,0.42895,0.44,0.32247,0.06674,3.09578,4.48224,1.12221,0.000720832,0.000720832,0.000720832
20,126.67,2.29592,3.9316,1.0369,0,0,0,0,2.85813,10.2228,1.06487,0.000736084,0.000736084,0.000736084
21,132.909,3.37765,9.1217,1.22482,0,0,0,0,2.85813,10.2228,1.06487,0.00074896,0.00074896,0.00074896
22,139.291,4.23341,6.33092,1.27223,0,0,0,0,2.85813,10.2228,1.06487,0.00075946,0.00075946,0.00075946
23,145.661,3.00437,6.10149,0.98062,0,0,0,0,2.85813,10.2228,1.06487,0.000767584,0.000767584,0.000767584
24,151.786,2.90357,6.85035,1.04179,0,0,0,0,2.85813,10.2228,1.06487,0.000773332,0.000773332,0.000773332
25,158.441,4.3194,6.05231,1.22118,0,0,0,0,2.85813,10.2228,1.06487,0.000776704,0.000776704,0.000776704
26,164.554,3.45976,8.02992,1.11146,0,0,0,0,2.85813,10.2228,1.06487,0.0007777,0.0007777,0.0007777
27,171.086,2.90189,7.47929,1.02066,0,0,0,0,2.85813,10.2228,1.06487,0.00077632,0.00077632,0.00077632
28,177.427,2.82735,5.33605,1.03184,0,0,0,0,2.85813,10.2228,1.06487,0.000772564,0.000772564,0.000772564
29,183.493,2.86591,6.69219,1.02187,0,0,0,0,2.85813,10.2228,1.06487,0.000766432,0.000766432,0.000766432
30,189.822,2.75524,7.29698,0.97029,0,0,0,0,2.85813,10.2228,1.06487,0.000757924,0.000757924,0.000757924
31,196.333,3.14994,7.42932,1.21787,0,0,0,0,2.85813,10.2228,1.06487,0.00074704,0.00074704,0.00074704
32,202.94,3.77653,6.57671,1.2286,0,0,0,0,2.85813,10.2228,1.06487,0.00073378,0.00073378,0.00073378
33,209.334,3.48949,5.334,1.1373,0,0,0,0,2.85813,10.2228,1.06487,0.000718144,0.000718144,0.000718144
34,215.439,3.9728,12.8772,1.23786,0,0,0,0,2.85813,10.2228,1.06487,0.0006932,0.0006932,0.0006932
