epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91062,2.94859,3.74848,1.88571,0.03333,0.41667,0.03015,0.00913,2.82921,3.53168,1.67728,2e-05,2e-05,2e-05
2,8.1655,2.6144,3.39012,1.70722,0.12197,0.20833,0.04526,0.01286,2.74659,3.29835,1.63312,5.8812e-05,5.8812e-05,5.8812e-05
3,12.2961,2.36324,3.23301,1.67982,0.12197,0.20833,0.04526,0.01286,2.74659,3.29835,1.63312,9.604e-05,9.604e-05,9.604e-05
4,16.5236,2.16117,3.72584,1.63494,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000131684,0.000131684,0.000131684
5,20.672,2.065,2.27496,1.59535,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000165744,0.000165744,0.000165744
6,24.8433,2.53145,2.52658,1.59007,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.00019822,0.00019822,0.00019822
7,28.986,2.34882,2.22435,1.563,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000229112,0.000229112,0.000229112
8,33.0505,1.99664,2.53284,1.53328,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.00025842,0.00025842,0.00025842
9,37.1701,2.01247,2.42227,1.48752,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000286144,0.000286144,0.000286144
10,41.3099,2.15938,2.21906,1.48548,0.22765,0.38084,0.19433,0.06446,2.12011,2.87582,1.42241,0.000312284,0.000312284,0.000312284
11,46.4011,1.93053,2.27082,1.57233,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00033684,0.00033684,0.00033684
12,51.7341,2.21671,2.81869,1.42279,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000359812,0.000359812,0.000359812
13,56.4013,1.55921,2.10711,1.27136,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.0003812,0.0003812,0.0003812
14,60.6779,1.90578,2.32771,1.36107,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000401004,0.000401004,0.000401004
15,65.1305,2.21849,2.72355,1.35723,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000419224,0.000419224,0.000419224
16,69.42,2.14487,3.26621,1.43488,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00043586,0.00043586,0.00043586
17,73.7215,2.53603,5.17595,1.73259,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000450912,0.000450912,0.000450912
18,78.004,1.69784,2.865,1.33639,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00046438,0.00046438,0.00046438
19,82.3115,1.69093,2.0412,1.27999,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000476264,0.000476264,0.000476264
20,86.6495,1.74075,1.85367,1.31852,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000486564,0.000486564,0.000486564
21,90.9179,1.80145,2.64726,1.3009,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00049528,0.00049528,0.00049528
22,95.2319,1.78192,3.9906,1.32362,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000502412,0.000502412,0.000502412
23,99.5643,2.13234,2.47373,1.36638,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00050796,0.00050796,0.00050796
24,104.1,2.19285,3.14523,1.45888,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000511924,0.000511924,0.000511924
25,108.466,2.15698,2.85919,1.37946,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000514304,0.000514304,0.000514304
26,112.74,1.96968,2.29666,1.38937,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.0005151,0.0005151,0.0005151
27,117.068,1.83034,2.29302,1.31332,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000514312,0.000514312,0.000514312
28,121.418,1.58259,2.38436,1.21761,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.00051194,0.00051194,0.00051194
29,125.747,1.88828,2.34466,1.32174,0.43804,0.77968,0.60593,0.28362,1.55621,3.37531,1.26252,0.000507984,0.000507984,0.000507984
30,130.22,1.97094,2.27692,1.36668,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000502444,0.000502444,0.000502444
31,134.481,1.51782,2.31931,1.14486,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.00049532,0.00049532,0.00049532
32,138.697,1.76257,3.05554,1.17648,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000486612,0.000486612,0.000486612
33,143.059,1.66798,2.64828,1.1469,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.00047632,0.00047632,0.00047632
34,147.331,1.79062,3.12564,1.10947,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000464444,0.000464444,0.000464444
35,151.57,1.57109,2.37698,1.12484,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000450984,0.000450984,0.000450984
36,155.85,1.81719,2.93048,1.11296,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.00043594,0.00043594,0.00043594
37,160.135,1.77088,2.82616,1.16077,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000419312,0.000419312,0.000419312
38,164.361,1.67622,4.1593,1.11487,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.0004011,0.0004011,0.0004011
39,168.663,1.65035,2.63921,1.13358,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000381304,0.000381304,0.000381304
40,172.944,1.75334,2.98299,1.15832,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000359924,0.000359924,0.000359924
41,177.181,1.92468,3.51874,1.17717,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.00033696,0.00033696,0.00033696
42,181.444,1.53237,2.29597,1.17817,0.14327,0.54167,0.13218,0.06922,1.64644,2.83896,1.26377,0.000312412,0.000312412,0.000312412
